,index,name,address,rating,author,text,review_rating,neg,neu,pos,compound,roberta_neg,roberta_neu,roberta_pos,roberta_compound
0,0,Amsterdam Ale House,"340 Amsterdam Ave, New York, NY 10024, USA",4.3,Julia NORTHCOTT,"My husband and I went off the tourist track and visited this bar today! Lovely chilled atmosphere! Server more than helpful and we can watch Liverpool game there on Sunday! Good selection of beers (husband expert level beer taster having had his own bar) had chicken wings and a lovely conversation with a library expert local who I assume is a regular … nice speaking to a New Yorker about all things American and British!

We had been looking for a nice local bar and this was definitely one we were pleased to go in!",5.0,0.0,0.753,0.247,0.9775,0.0025224201,0.015262004,0.9822155,0.9860629
1,1,Amsterdam Ale House,"340 Amsterdam Ave, New York, NY 10024, USA",4.3,dave I,"4/13/24 first time here. Cool bar vibe. Interesting beers on tap.
We had the pretzel 'filled with jalapeno cheese' but there was No hint of jalapeno.
So it's just cheese filled, good but smaller than we expected. Not like your traditional large hot pretzel.
We had the turkey Ruben, which was good.
Friendly service.
Trendy crowd-",4.0,0.078,0.7,0.222,0.876,0.016962802,0.19543727,0.7875999,0.85987437
2,2,Amsterdam Ale House,"340 Amsterdam Ave, New York, NY 10024, USA",4.3,Daniel Pino,"Layout/atmosphere
*Bar (old, worn in wood) to right of entrance; high tables surround the bar; six TVs; windows with view onto street; tables in the back (craft beer taps on the wall); outdoor dining structures on Amsterdam & W 76 St; tables underneath awning on W 76; tables enclosed before the entrance

Service
*Solid

Food/drink
*Cuban sandwich (sliced ham, shredded pork, melted swiss, pickles, mayo and mustard served on a toasted hoagie roll) with French fries - good; crunchy bread; portion not the biggest; fries were crispy but could have used a bit more salt
*Fifth Hammer Brewing Shark Repellent Kolsch (draft) - above average; clean, sweet",4.0,0.015,0.896,0.089,0.836,0.030593222,0.7659733,0.20343344,0.54053026
3,3,Amsterdam Ale House,"340 Amsterdam Ave, New York, NY 10024, USA",4.3,CA Hyde,"Stopped by before a show at The Beacon. Good beer selection. Decided to share the loaded nachos with pulled pork, it was a large portion, and very tasty. Not so with the Buffalo cauliflower wings. The taste was OK, but the breading was soggy, mushy. They should be fried til nice and crispy, then tossed in sauce right before serving. They tasted more like a bad frozen meal from a store and microwaved. The server was great and was able to take it off our bill.",4.0,0.067,0.746,0.187,0.8987,0.034313973,0.2112827,0.75440335,0.8085737
4,4,Amsterdam Ale House,"340 Amsterdam Ave, New York, NY 10024, USA",4.3,Steve Dempsey,"Not the first time here and it's a good local neighborhood bar. They have a ton of outdoor seating, in front, on the side and a large curb side shelter as well.

Lots of craft beer on tap and full menu. Service was prompt, hostess seated us outside right away and server was right over. They brought a water dish for my dog. I did feel the mozzarella sticks were pretty skinny but I guess those are the times.

Overall great place for a brew and food.",4.0,0.0,0.871,0.129,0.882,0.004405997,0.05767565,0.93791837,0.9601472
5,5,Little Italy Pizza,"2047 Broadway, New York, NY 10023, USA",3.9,Elizabeth TraubHarris,"The smells of pizza draw you in. When you walk in the front door, see the pizza and prices you know you are in the right place.

The pizza was delicious. A++

The counter service happy and prompt. A++

The atmosphere is a pizza joint styled place. Grab a seat. Eat your pizza. Enjoy.",5.0,0.0,0.822,0.178,0.891,0.003944825,0.031102242,0.96495295,0.97458684
6,6,Little Italy Pizza,"2047 Broadway, New York, NY 10023, USA",3.9,Thomas Mauriello,"Narrow little local pizzaria serving delicious crispy pizza , quick register service and 15 to 20 small tables you can push around for small groups of up to 7 or so people.

Garlic knots are garlicky, pizza hot and crispy. A regular slice is very thin with a lot of flop and a medium amount of oil drip. Other slices like Sicilian and Grandma look good too.",5.0,0.035,0.835,0.131,0.7717,0.0068518943,0.14199586,0.8511523,0.9118724
7,7,Little Italy Pizza,"2047 Broadway, New York, NY 10023, USA",3.9,A.C.G,I don’t know if this pizza place was having a rough night but the restaurant didn’t look really clean. I am writing this review the day after and I didn’t get sick after this pizza. Here are some pictures. The pizza was good tho.,2.0,0.09,0.751,0.159,0.5251,0.5443747,0.34249794,0.113127306,-0.5321858
8,8,Little Italy Pizza,"2047 Broadway, New York, NY 10023, USA",3.9,Sooz Fitzpatrick,I regularly pick up a plain slice for my husband which he loves. We had grandmas pizza delivered and it was excellent. No fancy cheeses or sauce just great nyc pizza,4.0,0.057,0.646,0.297,0.8834,0.0032542045,0.0195128,0.977233,0.9821081
9,9,Little Italy Pizza,"2047 Broadway, New York, NY 10023, USA",3.9,Beycan KIRBAÇ,"pizzas are delicious and satisfying. I tried 3 different slices, but actually, even one slice would be enough to feel full.",4.0,0.0,0.796,0.204,0.5187,0.006507906,0.028866624,0.9646255,0.96929693
10,10,Ar Cairo halal food,"174 W 72nd St, New York, NY 10023, USA",3.8,JP L,"You’re paying $9  for the fancy truck to get ripped off with mediocre food, barely any chicken and a ton of raw onions after on top to create an illusion. The guy also shouting talking on phone preparing your food spit flying out his mouth. So many better other options near. Never again",1.0,0.0,0.874,0.126,0.7251,0.9464218,0.04816074,0.0054173884,-1.3901349
11,11,Ar Cairo halal food,"174 W 72nd St, New York, NY 10023, USA",3.8,bilal rashid,"Food was not what I expected I asked for a mix player and I got left smal chunks for chicken and lab. And the portions are very small compared to other trucks. Also got some of the fried food, it was straight out of the freezer and tasted bad
Could use a lot of improvement. Definitely not worth the time to go there.",1.0,0.079,0.806,0.116,0.3472,0.930356,0.06311003,0.0065340335,-1.357445
12,12,Ar Cairo halal food,"174 W 72nd St, New York, NY 10023, USA",3.8,Emad Atya,"Best food truck in New York. Clean and Delicious, the prices are very affordable too! I can eat there everywhere!",5.0,0.0,0.589,0.411,0.9039,0.00307759,0.012608513,0.98431385,0.98600173
13,13,Ar Cairo halal food,"174 W 72nd St, New York, NY 10023, USA",3.8,Sunny Vakkalanka,worth the wait. quality food and proportions,5.0,0.0,0.759,0.241,0.2263,0.008973093,0.047188625,0.94383824,0.95397294
14,14,Ar Cairo halal food,"174 W 72nd St, New York, NY 10023, USA",3.8,Awliyah Safi,Terrible. This worker has terrible customer service. No attention to detail. Not worth the visit,1.0,0.478,0.522,0.0,-0.8429,0.94978774,0.043285456,0.0069268285,-1.3961122
15,15,Emerald Inn,"250 W 72nd St, New York, NY 10023, USA",4.2,Nick Felker,"I came here one night for some dinner. I heard their burger was very good. It's good, with some pickles adding to the flavor, but not my favorite in the city. The service was great, with a friendly bartender. The atmosphere was very laid back, akin to an Irish pub, with good vibes.",4.0,0.049,0.67,0.281,0.9452,0.0066331774,0.040127505,0.9532393,0.96335334
16,16,Emerald Inn,"250 W 72nd St, New York, NY 10023, USA",4.2,A R,"Emerald Inn is my favorite Irish Pub on the Upper West Side. We have been visiting here since they were in their first location on Columbus Avenue. It has now been over 10 years since they moved to the current location. The food has always been solid, and the service at the bar has never been anything short of fantastic! I couldn't recommend Emerald Inn highly enough if you're looking for a nice Irish Pub on the UWS.",5.0,0.025,0.841,0.134,0.8474,0.0022751614,0.01658433,0.9811405,0.9860199
17,17,Emerald Inn,"250 W 72nd St, New York, NY 10023, USA",4.2,Sterling Archer,"I came in, had a Guinness, and the staff let me sit quietly and enjoy my beer in peace. No fuss, nice quiet drink during the day. Very enjoyable.",5.0,0.06,0.596,0.344,0.8883,0.006560962,0.050495837,0.9429433,0.95834976
18,18,Emerald Inn,"250 W 72nd St, New York, NY 10023, USA",4.2,Clifford D. Mallory,Excellent inconspicuous hideaway with high quality wholesale food and drinks. As well as Irish bartenders and authentic homely feel. Shepherds pie and cold Narragansett are amongst best in City.,5.0,0.0,0.722,0.278,0.875,0.005670031,0.02404056,0.9702894,0.97380465
19,19,Emerald Inn,"250 W 72nd St, New York, NY 10023, USA",4.2,Paul C,"A classic New York Irish pub. Family owned for 4 generations. My Dad was a regular here (when it was on Columbus) when he was with FDNY. Maura is the best bartender. Been coming here for years, love it.",5.0,0.0,0.802,0.198,0.8555,0.0037912999,0.021312116,0.9748966,0.97986573
20,20,Dark Bullet Sake & Oyster Bar,"154 W 72nd St, New York, NY 10023, USA",4.5,max perez,"They have the coldest Japanese beer (Sapporo maybe) on tap served in a very frosty mug. Good bar selection. Free pool table for customers.

The scene at the pool table was really nice, with short wait times, skilled players who were pleasant and mature, and good available cues.

This place is a lovely oasis of calm in a crowded city.",5.0,0.0,0.665,0.335,0.974,0.0064483257,0.036423005,0.9571287,0.9656677
21,21,Dark Bullet Sake & Oyster Bar,"154 W 72nd St, New York, NY 10023, USA",4.5,Matthew Gantz,"Dark Bullet Sake & Oyster Bar is a very unique place for those with varied tastes. It's a bar, and they have a pool table in the back, and sports on TVs. It was a bit odd being able to watch tennis at 10pm on a Saturday night, but I appreciated it. The atmosphere is a bit off to me - it feels like everything is overly sanitized (might just be the harsh white lighting in some areas). But overall it was a decent place for a drink and chatting with friends.",4.0,0.059,0.814,0.127,0.81,0.0054812934,0.09144023,0.90307856,0.94057673
